title,company-name,location,type,salary_package,company_requirements
BDM-US Sales-Medical Billing,Kimoha Technologies Pvt Ltd,Remote,part-time,"₹70,592","Engage with prospects to understand their needs, address inquiries, and provide relevant information about our services.
Work experience: 4+ years (relevant)."
Voice Executive,Stuba,"Aundh, Pune, Maharashtra",Internship," Up to ₹23,000","6 months to 1 year experience.
Excellent spoken English, with good telephonic etiquettes.
Basic understanding of MS-Office tools.
Flexibility to work in shifts."
Executive Assistant to CEO,WovV Technologies,"Remote in Mumbai, Maharashtra",Full-time,"₹32,742",Complete a broad variety of administrative tasks that facilitate the CEO’s ability to effectively lead the organisation:including: assisting with special…
Noida Sector 15 Branch Hiring For Hindi Voice Process - Outbond,Credit Ruloans Pvt Ltd,"Noida Sector 16, Noida, Uttar Pradesh",Full-time,"₹51,968","The role requires excellent communication skills, a customer-oriented approach, and the ability to meet sales targets."
Executive Assistant,Retailer Sarathi,"Delhi, Delhi",Full-time,"₹27,356","Should have Good Grooming Standards.
Must have good communication skills.
Managing diaries and organizing meetings and appointments, often controlling access to…"
Branch Operation Officer (Branch Banking) 2257,Ujjivan Small Finance Bank,India,Monday to Friday,"₹61,056",Responsible for coordination of audits at the branch and availability of requisite resources in the branch without affecting regular branch business.
Back Office Executive,Sumago Infotech Pvt Ltd,"Pimpri-Chinchwad, Maharashtra",part-time," ₹12,000 - ₹18,000","Market Research: Conducting research and analyzing data to support business decisions.
Data Management: Handling data entry, maintaining databases, and ensuring…"
Retail Operations - Wellness Brand,NetSysCon Consulting (Hiring for high growth...,"Bengaluru, Karnataka",Full-time,"₹11,508","Thrives in an ambiguous business environment.
Ensure service consistency across 500+ customers visiting every month.
Lead daily operations of fertility clinic."
Admin Executive,Peak Performance,"Domlur, Bengaluru, Karnataka",part-time,"₹49,673","Ability to handle confidential information with discretion.
Act as the point of contact between the executives and clients.
Total work: 1 year (Preferred)."
Content Writing Internship,Wordplay Content,Remote,Internship," ₹40,000 - ₹50,000",Allocations happen every day on completion and editing of previous work 4.
Factory Supervisor,Riveroaks,"Alipore, Kolkata, West Bengal",Full-time,"₹16,870",*Quality Control:* Implement and maintain quality control measures to ensure that all products meet customer specifications and industry standards.
Research Manuscript Writers,ideal Word Script,Remote,Permanent,"₹65,703","Qualification: PhD, but preference will be given to those with experience in research manuscript writing.
Total work: 2 years (Preferred)."
Customer Support Executive (CSE),SPARKLINE TELECOM,"Udagamandalam, Tamil Nadu",Permanent,"₹32,547","Your primary role will be to address customer inquiries, resolve issues, and ensure a positive experience, thereby contributing to the overall success of our…"
customer service,ixamBee,"Noida, Uttar Pradesh",Internship," ₹11,00,000 - ₹14,00,000","Shift Timings - 5 days working - Male - 6 am - 12 am (any 9 (nine) hours shift) - Rotational Shift*.
Possessing excellent product knowledge to enhance customer…"
Cafe Assistant,Battlegrounds,"Coimbatore, Tamil Nadu",Full-time ,"₹39,847","Your role primarily consists of maintaining and managing the cafe operations.
Job Types: Part-time, Permanent, Fresher."
Customer Care Executive,Drimlite,"Gurugram, Haryana",Monday to Friday ,"₹29,194","As part of this role, you will be responsible for providing exceptional customer service to our clients in the fintech sector.
Job Types: Full-time, Fresher."
Cafe Assistant,Battlegrounds,"Coimbatore, Tamil Nadu",Permanent," ₹4,000 - ₹6,000","Your role primarily consists of maintaining and managing the cafe operations.
Job Types: Part-time, Permanent, Fresher."
Customer Service Executive,New Vision Group,"Remote in Mapuca, Goa",Part-time ,"₹66,065","You will also play a key role in gathering customer feedback, identifying areas for improvement, and collaborating with internal teams to elevate our service…"
Production Supervisor,Arman Foodtech Private Limited,"Bengaluru, Karnataka",Internship,"₹43,689",We are seeking an experienced Production Supervisor to oversee the production process and ensure efficient operations at our food processing facility.
export documentation,Busisol Sourcing,"Ludhiana, Punjab",Full-time ,"₹37,760","** Informing tracking No.of courier to customer with regards to Original shipping documents.
** Liaison with Bank for negotiating of bank documents."
Sales Executive (Real Estate),INSPIRA BUILDERS,"Shimoga, Karnataka",Permanent," From ₹2,00,000","To ensure that the targets are achieved according to the business plan.
Manage client query on the phone and convert tele-conversation into a personal meeting."
Front Desk Receptionist,PRIYA DIAGNOSTIC CENTRE,"Thoraipakkam, Chennai, Tamil Nadu",Permanent,"₹24,479","Responsible for attending all the incoming calls, responding to them and transferring the call to the appropriate department if needed."
Customer Service Executive,Geecon Systems,"Remote in Mira Road, Mumbai, Maharashtra",Monday to Friday,"₹34,112","As a Customer Service Executive, you will be responsible for providing exceptional service and support to our valued customers.
Flexibility to work in shifts."
Customer Support Associate|| International voice process,WITBLOOM TRAINING & PLACEMENT,"Nagpur, Maharashtra",Full-time," Up to ₹30,000","Customer service: 1 year (Preferred).
Weekly Off: 2 Days Rotational.
Job Types: Full-time, Permanent, Fresher.
Higher Secondary(12th Pass) (Preferred)."
Office Executive Assistant,World Inside Tourism Private Limited,"Delhi, Delhi",Full-time ,"₹70,893","The ideal candidate is organized, proactive, and has excellent communication and problem-solving skills.
Travel Arrangements: Organize and coordinate domestic…"
Quality Check Executive,ArtPark - I-Hub for Robotics and Autonomous...,Remote,Internship,"₹16,714","When we source data from the ground, it often needs to be inspected or curated as it could have various types of issues."
Assistant Supervisor,GLOBAL INNOVATOR SOLUTIONS,"Pune, Maharashtra",Internship," ₹12,000 - ₹14,000","Select and rejected candidates base on their skills.
Job Types: Full-time, Part-time.
Expected hours: No less than 5 per week."
Social Media Content Creator,Zoomintoweb,Remote,Full-time,"₹68,700","Content Creation: Create original, high-quality content including graphics, videos, GIFs, memes, and written posts tailored to each platform and optimized for…"
UI/UX Design Intern,Powerhouse,Remote,Full-time," ₹22,000 - ₹26,000","Stay up-to-date on industry trends and tools in design and illustration.
Currently enrolled in a degree program in graphic design, illustration, UI/UX design,…"
Front Office Supervisor,Radisson Blu Faridabad - Rooms,Haryana,Full-time ,"₹27,548","Accountable for ensuring that costs and inventory are controlled, that productivity and performance levels are attained."
Junior Graphic Designer,Devolv Studio,Remote,Internship," From ₹15,000",The Junior graphic designer will be working alongside the senior graphic designer and will be responsible for gathering information and materials and creating…
Data Annotator,Axximum. Inc,"Tiruchchirappalli, Tamil Nadu",Full-time,"₹79,797","Collaborate with team members, project managers, or stakeholders to address any questions, concerns, or issues related to the annotation process."
Opening in international Voice Process (Rotational shift),iMerit Technology Services Pvt. Ltd,"Shillong, Meghalaya",Internship,"₹64,759","Minimum 1 year of experience in any of the above criteria preferred.
Fixed 9 Hours of shift timing (5:30 PM to 2:30 AM).
US Healthcare knowledge is a must."
feild executive,Paytm,"Warangal, Telangana",Internship," ₹20,000 - ₹40,000","Health insurance and petrol charges provided by company.
Job Types: Full-time, Permanent, Fresher."
Front Office Executive,"GG Hospital, Pattom, Thiruvananthapuram","Pattom, Thiruvananthapuram, Kerala",Full-time ,"₹10,309","Excellent customer service to patients and their families.
Ability to communicate effectively with patients, visitors, and staff members."
Bank Reconciliation Officer,CPA Tax Advisors,"Remote in Bengaluru, Karnataka",Internship,"₹55,668","Respond to on-demand requests for bank reconciliations and associated financial statements.
Demonstrate ability to meet tight timelines with a high level of…"
Inside Sales Associate,Stalwarts Servicios,Remote,Internship, From ₹400,"Experience in Inside Sales Lead Generation:.
At least one year of experience using LinkedIn and other social media platforms for lead generation."
Freelance Soft Skills Trainer,MustSkills,"Remote in Chandigarh, Chandigarh",Part-time,"₹21,954","We are looking for an enthusiastic Soft Skills Trainer to deliver engaging and impactful training sessions on a variety of soft skills, including communication,…"
Factory Medical Officer- AFIH @ Chakan,BRIDGESTONE INDIA AUTOMOTIVE PRODUCTS PVT.LTD,"Chakan, Pune, Maharashtra",Internship,"₹50,734","CTC- Till max- 16 LPA.
Total work: 1 year (Preferred)."
Admin executive warehouse vijayawada,GM Modular,"Vijayawada, Andhra Pradesh",Internship," ₹30,000 - ₹40,000","Oversea the day-to-day facility operations.
Coordinate with vendors and contractors for facility services.
Plan and execute office relocations, renovations and…"
