title,company-name,location,type,salary_package,company_requirements
Work from Home IT Counselors,Nestsoft technologies,Remote in India,N/A,"₹5,000 - ₹8,000","Furthermore, you will oversee trainers' management, including recruiting, scheduling, and maintaining good working relationships with them to ensure high…"
E-Commerce Intern,Big Internet Seller Service Inc,Remote,Full-time ,N/A,"-Create product listings on sites like eBay, Amazon etc. for our clients-Prepare large excel sheets with various prices and snazzy formulae-Coordinate with…"
"Amazon, Flipkart & DropShipping Expert",Webtech Solutions,Remote,Monday to Friday ,N/A,"Trend Analysis: Stay informed about e-commerce trends, platform updates, and industry shifts to keep our strategies innovative and competitive."
Virtual Assistant (Remote),Growup Group,Remote,N/A,"₹20,000 - ₹30,000","You will be assigned a client once you are nearing the completion of your training.
A VA will be trained in all the domains enlisted below, and depending on…"
Astrology Content Writing: Prefers Astrologers Proficient English Writing (Part Time),Ennexa Technologies,Remote,Part-time ,N/A,"The ideal candidate should possess a deep understanding of Vedic astrology principles and practices, along with strong English writing skills."
Assistant Supervisor,ByteBay,Remote,N/A,N/A,"In this role, you will play a key part in supporting the day-to-day operations and ensuring the success of our team.
Job Types: Full-time, Part-time, Fresher."
Email/ Chat Process(International),Zoopero Marketing Private Limited,"Pune, Maharashtra",N/A,"₹20,000 - ₹30,000","Escalate complex issues to higher-level support or relevant departments when necessary.
Job Summary*: As an Email and Chat Support Executive, your primary…"
Virtual Admin,Conversely,Remote,Full-time ,N/A,"Good English proficiency– speaking and writing*, Honest, Reliable, Attention to detail, Resourceful, Ability to multi-task, handle challenges well, dependable,…"
Associate- Category,Goodera,"Bengaluru, Karnataka",N/A,N/A,"Develop creative and engaging volunteering activities and initiatives that cater to.
Identify and create new volunteering programs that align with budget and…"
"IT Counselor (Work from Home) Hindi, Tamil, Malayalam",Nestsoft technologies,Remote in India,N/A,"₹16,500","We pay basis on the admission taken by you.
Skills Required: Should have basic skills in IT, Online and Software Courses."
University Representative - EUROPE,VINTAGE IMMIGRATION,Remote,Full-time ,N/A,"Establish and maintain positive, productive relationships with education agents, counsellors, and international education consultants."
Office Admin,KoiReader Technologies,Remote,N/A,N/A,"Minimum 1 year of experience in an administrative role (or relevant experience).
Manage day-to-day office operations and organize company documents, records,…"
"Back Office Executive,Andheri",Anand Agencies,"Andheri, Mumbai, Maharashtra",N/A,"₹15,000 - ₹25,000","The ideal candidate will be responsible for accurately entering data into our systems, ensuring data integrity, and supporting various administrative tasks."
Data Entry Operator,Swaniti Initiative,"Jamshedpur, Jharkhand",Part-time ,N/A,"Our interventions have included strengthening scheme implementation by identifying current gaps and limitations, providing research support to Hon’ble Members…"
Home tuitions,Velocity classes (Individual concept learning),"Bengaluru, Karnataka",Monday to Friday ,N/A,"Communicate effectively with parents/guardians to discuss student performance and address any concerns.
Responsibilities *: Conduct one-on-one tutoring sessions…"
Data Entry Operator,Swaniti Initiative,"Jamshedpur, Jharkhand",Full-time,N/A,"Our interventions have included strengthening scheme implementation by identifying current gaps and limitations, providing research support to Hon’ble Members…"
Academic Counselor (Work from Home),Nestsoft technologies,Remote in India,N/A,N/A,"Should have basic skills in IT Technologies is an added advantage.
Skills Required: Should have skills in counselling of any type courses / recruitments."
Customer Service New Associate,Accenture,"Bengaluru, Karnataka",N/A,"₹16,000 - ₹20,000","The responsibility of an advisor as customer service associate will be to assist our customers end to end for any queries around billing, package related and…"
Associate – Accounts,ThinkRobotics,Delhi,Full-time,N/A,"As an Associate - Accounts, you will handle all the company's basic accounting duties and administrative tasks.
Total work: 3 years (Preferred)."
"Virtual Customer Support Associate - West Bengal, India",Amazon.com,Remote in West Bengal,N/A,N/A,"You’ll be the first point of contact for our customers by answering their requests through phone, chat and/or email – this includes everything from order and…"
Service Officer-BRANCH BANKING-Branch Banking,Kotak Mahindra,"Bengaluru, Karnataka",Full-time,N/A,"Redress customer needs pertaining to cash, DDs, cheque deposits, general information.
Providing quality of experience that will ensure retention and positive…"
Junior Clerk,Vinayaga Industries,"Tirunelveli, Tamil Nadu",N/A,"₹24,000 - ₹35,000","Monitor and manage payroll, accounting, human resources, and other activities.
Prepare financial reports and oversee payables and receivables."
Home tuitions,RightTutor,"Bengaluru, Karnataka",Full-time ,N/A,"Job Type: Part-time/Full-time*.
Tutors will either travel to the student’s home or host lessons at their own place.
Assess and monitor student progress."
Assistant Supervisor,Believers organisation,"Shahjahanpur, Uttar Pradesh",N/A,N/A,"IDENTIFYING,QUALIFICATION AND SECURING BUSINESS OPPORTUNITY COORDINATING BUSINESS GENERATION ACTIVITIES .
CREATING AND MAINTAINING A LIST/DATABASE OF PROSPECT…"
Tea Factory Assistant,IG Group,"Dum Duma, Assam",N/A,"₹15,443.21 - ₹76,173.88","Supervision, Planning, Maintenance, and Management of Tea Manufacturing Factory.
Must have knowledge of Manufacturing of both Orthodox and CTC Teas."
Telesales Executive (Tamil),TECHMILE SYSTEMS PRIVATE LIMITED,Remote,Part-time,N/A,"Keep records of calls and sales and note useful information.
Enter and update customer information in the database.
Job Types: Full-time, Fresher."
Camp Admin Supervisor,Ambey Mining Pvt Ltd,"Dhanbad District, Jharkhand",N/A,N/A,Ensuring that we deliver high quality service (Accommodation & fooding) to the staff and other guests from different sites/ Guest Houses.
voice process (Tamil),TECHMILE SYSTEMS PRIVATE LIMITED,Remote,N/A,"₹15,000 - ₹20,000","Maintain excellent customer satisfaction and review support.
Provide customer support through phone.
Proactively identify, investigate, and resolve recurring…"
Content Editor,Text Mercato,"Bengaluru, Karnataka",Full-time ,N/A,The company prides itself on disrupting the industry with its dedicated B2B content platform that leverages technology and sound processes to ensure timely…
Site Supervisor,MKS Electrical & Interiors Pvt. Ltd,"Gorakhpur, Uttar Pradesh",N/A,N/A,"Ensures customer needs are met and high quality service is delivered through a variety of means, including staff meeting or exceeding service levels and through…"
Wayfair Online Product Listing Coordinator,Heritage Baby Products,Remote,N/A,"₹50,000","Should have experience in managing Wayfair or Amazon product listing - product setup - listing optimization etc.
Part-time hours: 40 per week."
Social Science & Science Teacher,Nandha Gokulam Life School,"Nellore, Andhra Pradesh",Full-time,N/A,"To ensure academic excellence in classes responsible for.
To provide guidance to the teachers reporting to the position in planning, designing and implementing…"
Assistant Supervisor,Insha Enterprises Group,"Chhatarpur, Madhya Pradesh",N/A,"From ₹17,000","Manage, train, and monitor team members and team leads.
Providing training to employees, ensuring company policies are followed organizing employee schedule,…"
"Find A New Career, You'll Love",Proeffico Solutions,"Remote in Noida, Uttar Pradesh",N/A,N/A,"Continuous learning, certifications, networking, and taking on challenging projects can help you progress.
Software engineers, web developers, data analysts, QA…"
Coordinator,AGS Technologies (India) Pvt Ltd,"Pimpri-Chinchwad, Maharashtra",Monday to Friday,N/A,"Create, compile and export databases containing all information for each event.
Answer telephones and respond to inquiries from clients and participants."
Executive Assistant,Musclestadt Sporternaerung India Private Limited,Remote,Full-time ,N/A,"Serve as the primary point of contact for internal and external constituencies on all matters pertaining to the CEO, including those of a highly confidential or…"
Presales Executive(Freshers also can apply),MAHENDRA HOMES PVT LTD,"Bengaluru, Karnataka",N/A,"₹22,000 - ₹30,000","Pitch solutions to a customer and explain all the features and benefits of our service.
Assist the sales team in qualifying potential customers."
Content Writing Jobs - Jobs For Content Writing,Techasoft,Remote,Full-time ,N/A,"Write clear marketing copy to promote our products/services.
Identify customers’ needs and gaps in our content and recommend new topics."
Science tutor,Homeclass,Remote,N/A,N/A,"8.Time Availability 6-7 am and 4-10 pm IST.
Minimum 5 years of experience of teaching kids, either in school or reputed tutorial home or EdTech 3."
Ticketing Executive,FUTURE TICKETING GROUP PRIVATE LIMITED,"Delhi, Delhi",N/A,"₹18,000 - ₹30,000","Assist customers with problems that may arise during travel.
Assist customers in booking flights, including providing information on available airlines, flight…"
Office Assistant,Techcruz Technologies,Remote,Full-time,N/A,The ideal candidate will be a hard-working professional able to undertake a variety of office support tasks and work diligently under pressure.
Billing Executive,K Corp,"Koni, Kerala",N/A,N/A,"Knowledge in Malayalam typing would be an added advantage.
Second shift : 11am to 7pm.
Billing & Data Entry Executive- cum- Cashier*."
Data Entry Operator/Computer Operator,Tring,"Hybrid work in Tenkasi, Tamil Nadu",N/A,₹250,"This role requires a higher level of proficiency and attention to detail.
Proven experience (2-3 years) in data entry or administrative roles."
Shift Supervisor,Starbucks,"Ahmedabad, Gujarat",Contractual / Temporary,N/A,"Follows TATA Starbucks operational policies and procedures, including those for cash handling and safety and security, to ensure the safety of all partners…"
"Virtual Customer Support Associate -KA, India",Amazon.com,Remote in India,N/A,"₹21,664.45 - ₹28,783.28","In order to match our customer demand, we schedule based on a variety of different shift patterns within the operating hours of 6 am and 11 pm Sunday to Monday."
CONTENT WRITER,Adherence And Edvisor Education Management System...,Remote,N/A,"₹18,000 - ₹22,000","Type: Full Time / Part Time/ Remotely Flexible.
Hours: Minimum of 6 hours per day.
Salary*: ₹6,000 - ₹8,000 (Based on quality and deliverables)."
Front Office Executive,Ravishing Retreat LLP,"Ramanagaram, Karnataka",Full-time,N/A,"Answer questions and address complaints.
Keep front desk tidy and presentable with all necessary material (pens, forms, paper etc.)."
"Back Office Executive,Andheri",Anand Agencies,"Andheri, Mumbai, Maharashtra",N/A,N/A,"The ideal candidate will be responsible for accurately entering data into our systems, ensuring data integrity, and supporting various administrative tasks."
Content Writing Jobs - Jobs For Content Writing,Techasoft,Remote,N/A,"₹16,500","Write clear marketing copy to promote our products/services.
Identify customers’ needs and gaps in our content and recommend new topics."
Home tuitions,RightTutor,"Bengaluru, Karnataka",Full-time ,N/A,"Job Type: Part-time/Full-time*.
Tutors will either travel to the student’s home or host lessons at their own place.
Assess and monitor student progress."
Urgent Hiring || English Evaluator || WFH,NCR Eduservices Pvt Ltd,Remote,N/A,N/A,"In this role, you will play a crucial part in ensuring the quality and effectiveness of our phonics-based reading and pronunciation sessions delivered by…"
Associate – Accounts,ThinkRobotics,Delhi,N/A,"₹15,443.21 - ₹76,173.88","As an Associate - Accounts, you will handle all the company's basic accounting duties and administrative tasks.
Total work: 3 years (Preferred)."
Customer Service Representative - Voice,TTEC,"Mumbai, Maharashtra",Part-time,N/A,"Whether it’s getting answers for customers quickly, consulting on products with compassion or resolving their issues with a smile, you’ll be the difference…"
Cyber Security Intern,Wahy Lab Solutions,"Kochi, Kerala",N/A,N/A,"Job Types: Full-time, Permanent, Fresher."
Data Entry Operator/Computer Operator,Tring,"Hybrid work in Tenkasi, Tamil Nadu",N/A,"₹16,000 - ₹20,000","This role requires a higher level of proficiency and attention to detail.
Proven experience (2-3 years) in data entry or administrative roles."
Chat Support Executive,Astoria Software Exports Pvt. Ltd.,"Remote in Kochi, Kerala",Full-time,N/A,"Rotational Shift 24 x 5 - Candidates can be asked to work in any shift.
First 6 months constitute the probation period and the salary supplied will be Rs."
Customer Support Executive,Gadgeon Medical Systems Pvt Ltd.,Remote,N/A,N/A,"Ensuring maximum customer satisfaction and implementation of our standard practice.
Proactively resolving product or service problems by clarifying the customer…"
Project Coordinator,Big Internet Seller Service Inc,Remote,N/A,"₹30,000 - ₹41,000",Ensure each task is assigned to the appropriate person (i.e. the person who needs to take the next action on the task including reassigning the task to the…
Telly calling,Pachouli Wellness Clinic,"Indore, Madhya Pradesh",Monday to Friday ,N/A,"Prior experience with customer service and call centers in relevant job roles.
Ensure you follow the customer service script provided by the company for…"
Tutoring-Biology,eTutorWorld,Remote,N/A,"₹6,000 - ₹8,000","We are looking for teachers/tutors with teaching experience in Biology.
Graduate or post graduate who can teach Biology."
Assistant Supervisor,Insha Enterprises Group,"Chhatarpur, Madhya Pradesh",N/A,"From ₹17,000","Manage, train, and monitor team members and team leads.
Providing training to employees, ensuring company policies are followed organizing employee schedule,…"
Sales Executive,Fitelo,Remote,N/A,N/A,"Keeping records of calls and sales and note useful information.
Entering and updating customer information in the database.
Job Types: Full-time, Permanent."
Customer Service Executive,YEHMERAINDIA/Gharsoaps,"Narhe, Pune, Maharashtra",Monday to Friday,N/A,The ideal candidate will have excellent communication and convincing skills to manage customer inquiries and ensure a high level of customer satisfaction.
Customer service representative,Drimlite,"Pune District, Maharashtra",N/A,"Up to ₹25,000","Maintain a high level of product knowledge to address customer queries accurately.
Both freshers and experienced candidates are welcome to apply."
Content Writer,Research Nester Pvt. Ltd.,Remote,Full-time ,N/A,"Hours: 10 AM to 7 PM.
Preparing, rewriting, or editing content to improve readability while adhering to the in-house guidelines."
Agronomist (Male),Veg Ease,"Gurugram, Haryana",N/A,"₹10,000 - ₹20,000","The Agronomist will play a crucial role in improving crop yields, advising on best practices, and contributing to sustainable agricultural development."
Freelance Content Writer,Vadavision! Consultancy Inc.,Remote,Full-time ,N/A,"Stay updated with industry trends and best practices in technical writing and SEO.
Ensure all content is consistent with our brand voice, style, and tone."
Front Office Executive (Receptionist),CRE Spacez,"Bengaluru, Karnataka",N/A,"Up to ₹40,000","§ Handle client queries & address complaints politely.
§ Responsible for handling front office and client relations activities."
Tele Caller Executive,PJ Group,Remote,Full-time,N/A,"Identifying qualifying and securing business opportunities , coordinating business generation activities.
Maintaining a list base of prospect client."
Social Science & Science Teacher,Nandha Gokulam Life School,"Nellore, Andhra Pradesh",N/A,N/A,"To ensure academic excellence in classes responsible for.
To provide guidance to the teachers reporting to the position in planning, designing and implementing…"
Back Office Coordinator,Vinayaga Industries,"Virudunagar, Tamil Nadu",N/A,"₹40,000 - ₹80,000","Gathering and processing research data.
Performing basic admin duties including printing, sending emails, and ordering office supplies."
Student Advisor - Work from Home,Edubex,Remote in India,Full-time,N/A,"We are looking for Student advisors - (Work from home), who can join us immediately.
Must have sales experience - preferably in finance/banking/education/study…"
Data Entry Operator ( Fresher),Tring,"Hybrid work in Tenkasi, Tamil Nadu",N/A,N/A,"As a Data Entry Operator (Fresher), you will be responsible for inputting, updating, and maintaining accurate data within our systems."
Non-Voice/ Back office Agent,"TSI - Transworld Systems, Inc (India)","Bengaluru, Karnataka",N/A,"₹15,000","Transport facility (Depends on policy and shift).
Graduate Fresher’s or HSC + Minimum 6 months of experience.
Maintain confidentiality and security of sensitive…"
Content Moderator,ImpactHub Connect,Remote,Part-time,N/A,"Collaborate with cross-functional teams, including Community Managers and Clients, to address content-related issues and implement improvements."
Cognos Admin- 24010549,MoneyGram3.7,"Mumbai, Maharashtra",Full-time,N/A,"Implement innovative BI and mobile BI solutions and platform configurations to meet emerging industry trends or customer needs.
Stay healthy and worry-free!"
ASSISTANT SUPERVISOR,SUNRISE CONSTRUCTION COMPANY,Remote,N/A,N/A,"Good in the cleaning industry.
This is a part-time remote role for an Assistant Supervisor at Sunrise Construction Company.
Job Types: Full-time, Part-time."
Shift Incharge,Ambey Mining Pvt Ltd,"Dhanbad, Jharkhand",N/A,"₹10,000 - ₹20,000","Ensure that haul road, dumping and working area to be maintained properly for the better output and less breakdown of equipments."
Meme Creator,Zepp Media,Remote,Full-time ,N/A,"Develop and design original memes that are engaging, relevant, and tailored to our target audiences on LinkedIn, Instagram, and Facebook."
Science tutor,Homeclass,Remote,N/A,N/A,"8.Time Availability 6-7 am and 4-10 pm IST.
Minimum 5 years of experience of teaching kids, either in school or reputed tutorial home or EdTech 3."
Front Desk Receptionist,ADVANCED GRO HAIR,"HSR Club, Karnataka",N/A,"₹5,000 - ₹7,000","You have attend phone calls, answer inquiries, and assist patients in filling up documents.
The front office staff is responsible for receiving and greeting the…"
SGT Computer Science,Velammal New Gen Edu Network2.0,"Chennai, Tamil Nadu",Part-time,N/A,"Teach Computer Science to Classes VI to X, ensuring that students understand both theoretical and practical aspects of the subject."
voice process (Tamil),TECHMILE SYSTEMS PRIVATE LIMITED,Remote,N/A,₹250,"Maintain excellent customer satisfaction and review support.
Provide customer support through phone.
Proactively identify, investigate, and resolve recurring…"
Associate Content Writer,American Health Care Academy,Remote,Contractual / Temporary,N/A,"Research, write, and edit high-quality content for our digital platforms, including blog articles, website copy, social media posts, whitepapers, case studies,…"
B2B Copy Writer for a Technology Company,Aihiom Solz Private Limited,Remote,N/A,"₹15,000 - ₹22,000","Share 3-5 example blogs from this experience.
Total work: 3 years (Required).
Education: Graduate with a relevant degree, from a reputable university."
Content Writer and Editor,SERP Forge,Remote,Full-time,N/A,"Stay updated on industry trends, algorithm updates, and best practices in SEO and content marketing.
We are seeking a talented Content Writer with a strong…"
Medical Billing Associate,ZH HealthCare,Remote,N/A,N/A,"Payment posting knowledge with 2-3 years of experience.
Payment posting: 3 years (Required).
Should have some knowledge in Patient billing."
Content Writer,"ioVista, Inc.",Remote,N/A,"₹15,000.00 - ₹33,110.43","In this role, you will be responsible for producing high-quality content that aligns with our brand voice and engages our target audience."
Billing Executive,K Corp,"Koni, Kerala",Full-time,N/A,"Knowledge in Malayalam typing would be an added advantage.
Second shift : 11am to 7pm.
Billing & Data Entry Executive- cum- Cashier*."
Telesales Executive (Tamil),TECHMILE SYSTEMS PRIVATE LIMITED,Remote,N/A,N/A,"Keep records of calls and sales and note useful information.
Enter and update customer information in the database.
Job Types: Full-time, Fresher."
Content Writer,"ioVista, Inc.",Remote,N/A,"₹15,000 - ₹20,000","In this role, you will be responsible for producing high-quality content that aligns with our brand voice and engages our target audience."
Billing Executive,K Corp,"Koni, Kerala",Full-time ,N/A,"Knowledge in Malayalam typing would be an added advantage.
Second shift : 11am to 7pm.
Billing & Data Entry Executive- cum- Cashier*."
Academic content writer,Surgeped,Remote,N/A,N/A,"5 staying updated with industry trends, education requirements, and academic standards.
3 Ensuring all content is accurate, well-researched, and adheres to…"
Shift Supervisor,Starbucks,"Ahmedabad, Gujarat",N/A,"₹3,00,000 - ₹3,20,000","Follows TATA Starbucks operational policies and procedures, including those for cash handling and safety and security, to ensure the safety of all partners…"
Project Coordinator,Tomte India Private Limited,Remote,Full-time ,N/A,"Previous experience as an Administrative Coordinator, Administrator, or similar role preferred.
Comfortable working in US Shift."
KYC Executive,EARNING KA HUB,Remote,N/A,N/A,"Conduct customer due diligence and enhanced due diligence for higher-risk customers.
Review and analyze customer documentation and information to assess risk…"
Customer Support Executive,Solutions Infoway Support Services,Remote in India,N/A,"₹10,000 - ₹12,000","Job Summary : As a Customer Support Executive, you will play a crucial role in providing excellent customer service and ensuring customer satisfaction."
Office Assistant,Techcruz Technologies,Remote,Full-time,N/A,The ideal candidate will be a hard-working professional able to undertake a variety of office support tasks and work diligently under pressure.
Content Writer Intern,Roku Digital Inc,Remote,N/A,N/A,Stay updated on content marketing best practices and industry trends to continuously improve content quality and effectiveness.
Freelance Soft Skills Trainer,MustSkills,"Remote in Chandigarh, Chandigarh",N/A,"₹4,500 - ₹5,000","We are looking for an enthusiastic Soft Skills Trainer to deliver engaging and impactful training sessions on a variety of soft skills, including communication,…"
Administrative Positions,CMR University,"Bengaluru, Karnataka",Internship,N/A,OFFICE OF STUDENT AFFAIRS (OSA).
electical shift incharge (POWER PLANT),omkar job consultant,"Raipur, Chhattisgarh",N/A,N/A,"Job Types: Full-time, Permanent."
Data Scientist,Accusaga,"Madhapur, Hyderabad, Telangana",N/A,From ₹400,"Job Types: Full-time, Permanent."
PCG Equity Advisor,Motilal Oswal Financial Service Ltd,"Bengaluru, Karnataka",Part-time,N/A,"5 Days working (Saturdays off).
Advising Super HNI clients on Equity, Derivatives, currency & commodity Markets.
No PIP for 1 year."
Data Entry Operator (DEO),ACE INFOTEXiS PVT.LTD .,"Jabalpur, Madhya Pradesh",N/A,N/A,"Urgently require a Data Entry Operator.
Qualification: Graduate from any recognized University/ Institution.
Microsoft Office: 1 year (Preferred)."
Stores - Patna,Numeric Power Systems Limited,"Patna, Bihar",N/A,"₹20,000 - ₹30,000","Total work: 3 years (Preferred).
O Responsible for service stores Stocks across the country including H.O.
O Responsible for timely material availability for…"
Events & Weddings Coordinator,SyncUp Network Private Limited,"Hyderabad, Telangana",Full-time,N/A, Bachelor's degree (B.tech preferred)  Proven working experience in event management  Solid organizational skills including attention to detail and…
Social Media Intern,Zastraa,Remote,N/A,N/A,"This is a paid 3-month project, with the potential for full-time employment based on performance."
Assistant Supervisor,GLOBAL INNOVATOR SOLUTIONS,"Pune, Maharashtra",N/A,"₹4,00,000 - ₹6,00,000","Select and rejected candidates base on their skills.
Job Types: Full-time, Part-time.
Expected hours: No less than 5 per week."
Assistant Supervisor,WISDOM ORGANIZATION,"Indore District, Madhya Pradesh",Full-time ,N/A,"Maintain database of candidate records and providing guidance, training to staff for recuriting process and helping youngster to Financial independent."
Student Counsellor,Avanti Fellows,Remote,N/A,N/A,"Minimum 2-3 years of experience in counseling high school students.
Flexible remote working environment with autonomy over schedules."
Content Writer,Millennial Experiences,Remote,N/A,"From ₹15,500","Write compelling articles, blog posts, and website content that capture the essence of luxury travel.
Craft detailed reviews and descriptions of luxury hotels,…"
Junior Lecturer,Training and Educational Centre For Hearing...,"Sahakarnagar, Pune, Maharashtra",Full-time ,N/A,"It focuses on Holistic Developmental Model that understands special student needs that go beyond a college degree to investing in making them truly independent,…"
Content Writer,MMNovatech,Remote,N/A,N/A,"Collaboration: Work closely with the marketing, design, and product teams to create content that supports business objectives and marketing campaigns."
Production Executive,Bhumi Beverages,"Bengaluru, Karnataka",N/A,"₹10,000 - ₹14,500",Responsibilities: -Develop and implement production plans and schedules to ensure timely delivery of products -Monitor and control production processes to…
Mortgage Admin Female Remote,DRG JPMC Hyderabad,Remote,N/A,N/A,"Timing:* Indian Timing 1:30 pm to 10:30 pm ( As per UK Shift ).
Total work: 3 years (Preferred).
Age: Candidate age Only Below 26 Year can apply.*."
Accounts Receivable,Harris Computer Systems,Remote,N/A,N/A,"As an Executive Account Receivable, you will be joining the healthcare group and working with a dedicated overseas team and business unit stakeholders focused…"
Editor,ScoopWhoop,"Delhi, Delhi",N/A,"₹3,00,000 - ₹4,20,000","Manage editorial calendar and ensure timely broadcast of content.
Assign, edit and publish stories in accordance with company's style guide."
Data Entry Operator,Exim Logistics Pvt Ltd,"Bhubaneswar, Orissa",Full-time,N/A,"DCB 928-931, 9th floor, DLF Cyber City.
Inputting, updating, and maintaining accurate data records into our databases and systems.*."
Freshers Customer Support,Botree Software International Pvt Ltd,"Bengaluru, Karnataka",N/A,N/A,"Resolve service issues (Level 1 & 2 as appropriate) by understanding, clarifying customer problem, determining the cause, and ensuring resolution based on SLAs."
